"Tipo Vehículo","Capacidad en Centrimetros Cubicos","Tipo de Transmisión","Kilometros Recorridos","Tipo Combustible","Asientos","Consumo de Combustible en Kilometros por litro","Año Modelo","Valor de Reventa"
"Pilot SUV","1199","Manual","46602","Petrol","5","17.5","2018","27277"
"Pilot SUV","1497","Manual","104034","Petrol","7","15.4","2017","27203"
"Pilot SUV","1199","Manual","21759","Petrol","5","17.5","2017","27126"
"Pilot SUV","1199","Manual","30995","Petrol","5","17.5","2017","27098"
"Pilot SUV","1199","Manual","108664","Petrol","5","17.5","2018","27001"
"Pilot SUV","1497","Manual","70000","Petrol","7","15.4","2016","26795"
"Pilot SUV","1199","Manual","52109","Petrol","5","17.5","2017","27154"
"Pilot SUV","1497","Manual","70000","Petrol","7","15.4","2016","27075"
"Pilot SUV","1199","Manual","36036","Petrol","5","17.5","2018","27085"
"Pilot SUV","1498","Manual","50000","Diesel","5","25.5","2020","27343"
"Pilot SUV","1199","Manual","32037","Petrol","5","17.5","2017","27105"
"Pilot SUV","1199","Manual","10000","Petrol","5","16.5","2022","27485"
"Pilot SUV","1199","Manual","10000","Petrol","5","16.5","2022","27463"
"Pilot SUV","1199","Manual","27149","Petrol","5","17.5","2017","27007"
"Pilot SUV","1199","Manual","45000","Petrol","5","17.5","2017","27056"
"Pilot SUV","1199","Manual","29000","Petrol","5","17.5","2017","27189"
"Pilot SUV","1199","Manual","4337","Petrol","5","16.5","2022","27395"
"Pilot SUV","1199","Manual","87581","Petrol","5","17.5","2017","26965"
"Pilot SUV","1199","Manual","71521","Petrol","5","17.5","2019","27100"
"Pilot SUV","1199","Manual","61000","Petrol","5","17.5","2018","26995"
"Pilot SUV","1199","Manual","50000","Petrol","5","17.5","2020","27215"
"Pilot SUV","1199","Manual","50000","Petrol","5","17.5","2020","27379"
"Pilot SUV","1199","Manual","110339","Petrol","5","17.5","2017","27112"
"Pilot SUV","1498","Manual","80000","Diesel","5","25.5","2018","27037"
"Pilot SUV","1199","Manual","59000","Petrol","5","17.5","2017","27119"
